id,title,provider,time,url,skills,probabilities
1,Introduction to Microsoft Excel,Coursera Project Network,2,https://www.coursera.org/projects/introduction-microsoft-excel,"Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;;Apply new technologies to improve work processes;;Calculate data to inform organisational operations;;Calculate financial data;;Collaborate with others to resolve information technology issues;;Confer with clients to exchange information;;Consult with others regarding health and safety associated with equipment or facilities;;Develop procedures for data entry or processing;;Develop safety standards, policies or procedures;;Develop software applications;;Inspect work environments to ensure safety;;Install computer software;;Install programs onto computer or computer-controlled equipment",
2,Business Analysis & Process Management,Coursera Project Network,2,https://www.coursera.org/projects/business-analysis-process-management,Advise others on ways to improve processes or products;;Apply information technology to solve business or other applied problems;;Communicate organisational information to customers or other stakeholders;;Communicate with constituents and keep abreast of the issues affecting them;;Confer with co-workers or internal stakeholders to coordinate operational activities;;Create models of engineering designs or methods;;Develop business or market strategies;;Develop business relationships;;Develop diagrams or flow charts of system operation;;Develop procedures to evaluate organisational activities;;Direct design or development activities;;Establish business management methods;;Implement design or process improvements;;Model operational processes;;Monitor organisational processes,
3,Investment Risk Management,Coursera Project Network,2,https://www.coursera.org/projects/investment-risk-management,Analyse data to inform operational decisions or activities;;Analyse health-related data;;Analyse medical data;;Analyse operational or research data;;Analyse quantitative data to determine effectiveness of treatments or therapies;;Analyse risks related to investments in green technology;;Analyse risks to minimise losses or damages;;Assess financial status of clients;;Assess risks to business operations;;Determine appropriate methods for data analysis;;Develop financial analysis methods;;Identify investment opportunities or strategies;;Implement financial decisions,
4,Google Ads for Beginners,Coursera Project Network,2,https://www.coursera.org/projects/google-ads-beginner,Analyse data to assess operational or project effectiveness;;Analyse operational or research data;;Analyse website or related online data to track trends or usage;;Answer customer questions about goods or services;;Communicate with customers to resolve complaints or ensure satisfaction;;Conduct market research;;Correspond with customers to answer questions or resolve complaints;;Create marketing materials;;Design websites or applications;;Determine appropriate methods for data analysis;;Develop marketing plans or strategies;;Develop promotional strategies or plans;;Implement advertising or marketing initiatives,
5,Business Analytics with Excel: Elementary to Advanced,Johns Hopkins University,23,https://www.coursera.org/learn/business-analytics-excel,"Analyse data to assess operational or project effectiveness;;Analyse data to determine project feasibility;;Analyse data to inform operational decisions or activities;;Apply information technology to solve business or other applied problems;;Apply mathematical models of financial or business conditions;;Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;;Arrange delivery of goods or services;;Calculate data to inform organisational operations;;Distribute supplies to workers;;Move equipment, supplies or food to required locations",
6,Successful Negotiation: Essential Strategies and Skills,University of Michigan,17,https://www.coursera.org/learn/negotiation-skills,Arbitrate disputes between parties to resolve legal conflicts;;Draft legislation or regulations;;Enforce rules or regulations;;Mediate disputes;;Negotiate agreements to resolve disputes;;Negotiate contracts with clients or service providers;;Negotiate labour disputes;;Negotiate prices or other sales terms;;Negotiate purchases or contracts,
7,Introduction to Data Analysis using Microsoft Excel,Coursera Project Network,2,https://www.coursera.org/projects/introduction-data-analysis-microsoft-excel,Analyse data to identify or resolve operational problems;;Analyse data to inform operational decisions or activities;;Apply information technology to solve business or other applied problems;;Calculate data to inform organisational operations;;Create databases to store electronic data;;Develop business or financial information systems;;Develop data analysis or data management procedures;;Develop procedures for data entry or processing;;Develop procedures for data management;;Prepare analytical reports,
8,Financial Markets,Yale University,33,https://www.coursera.org/learn/financial-markets-global,"Analyse business or financial data;;Analyse data to assess operational or project effectiveness;;Analyse financial information;;Analyse financial records to improve budgeting or planning;;Apply mathematical models of financial or business conditions;;Calculate financial data;;Develop financial analysis methods;;Develop operating strategies, plans or procedures;;Educate clients on financial planning topics;;Identify investment opportunities or strategies",
9,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,37,https://www.coursera.org/learn/negotiation,,
10,Using Basic Formulas and Functions in Microsoft Excel,Coursera Project Network,2,https://www.coursera.org/projects/using-basic-formulas-functions-microsoft-excel,Analyse medical data;;Apply mathematical models of financial or business conditions;;Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;;Calculate data to inform organisational operations;;Calculate financial data;;Calculate numerical data for medical activities;;Collaborate with others to resolve information technology issues;;Develop data analysis or data management procedures;;Develop procedures for data entry or processing;;Develop procedures for data management;;Document network-related activities or tasks;;Exchange information with colleagues,
13,Analyzing Company Performance using Ratios,Coursera Project Network,2,https://www.coursera.org/projects/analyze-company-performance-ratios,Analyse business or financial data;;Analyse financial information;;Apply mathematical models of financial or business conditions;;Calculate financial data;;Communicate results of environmental research;;Conduct financial audits;;Develop financial analysis methods;;Examine financial records or processes;;Gather financial records;;Interpret financial information for others;;Maintain financial or account records,
14,The Strategy of Content Marketing,"University of California, Davis",20,https://www.coursera.org/learn/content-marketing,"Conduct market research;;Create marketing materials;;Develop business or market strategies;;Develop content for sales presentations or other materials;;Develop marketing plans or strategies;;Develop operating strategies, plans or procedures;;Develop organisational goals or objectives;;Develop promotional materials;;Develop promotional strategies or plans",
15,Launch Your Online Business,The State University of New York,16,https://www.coursera.org/learn/launch-online-business,Deliver promotional presentations to current or prospective customers;;Design websites or applications;;Develop business or market strategies;;Develop business relationships;;Develop computer or information systems;;Develop content for sales presentations or other materials;;Develop financial or business plans;;Develop marketing plans or strategies;;Develop promotional materials;;Develop promotional strategies or plans;;Develop specifications or procedures for website development or maintenance,
16,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,28,https://www.coursera.org/learn/people-management,"Administer staff recruitment or hiring activities;;Arbitrate disputes between parties to resolve legal conflicts;;Attend training sessions or events to develop or maintain professional knowledge;;Coach others;;Develop operating strategies, plans or procedures;;Develop performance metrics or standards related to information technology;;Encourage patients or clients to develop life skills;;Gather organisational performance information;;Hire staff;;Mediate disputes;;Monitor computer system performance to ensure proper operation;;Negotiate agreements to resolve disputes;;Participate in staffing decisions",
17,Food & Beverage Management,Università Bocconi,13,https://www.coursera.org/learn/food-beverage-management,"Arrange delivery of goods or services;;Collaborate with others to develop or implement marketing strategies;;Coordinate activities of food service staff;;Coordinate food preparation;;Coordinate logistics or other business operations;;Develop business or market strategies;;Develop marketing plans or strategies;;Develop marketing plans or strategies for environmental initiatives;;Develop new or advanced products or production methods;;Develop operating strategies, plans or procedures;;Develop promotional strategies or plans",
18,Leadership Skills,IIMA - IIM Ahmedabad,46,https://www.coursera.org/learn/leadershipskills,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships;;Communicate with constituents and keep abreast of the issues affecting them;;Communicate with customers to resolve complaints or ensure satisfaction;;Conduct scientific research of organisational behaviour or processes;;Counsel clients on mental health or personal achievement;;Develop business relationships;;Develop organisational methods or procedures;;Develop organisational policies or programs;;Discuss business strategies, practices or policies with managers;;Encourage patients or clients to develop life skills;;Implement organisational process or policy changes;;Provide counsel, comfort or encouragement to individuals or families;;Provide creative leadership to ensure production has desired effect, mood or style;;Speak to students to encourage and support the development of future political leaders",
19,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,4,https://www.coursera.org/learn/wharton-contagious-viral-marketing,,
20,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,12,https://www.coursera.org/learn/python-statistics-financial-analysis,,
