ID,Title,Skills Acquired,Prob Skills Acquired,Skills Required,Prob Skills Required,Money,Hours dedicated,Topics,URL
byd1-c,Prepare for Your SAP Business ByDesign Certification – Application Associate,,,,,,0.5,,https://open.sap.com/courses/byd1-c
fgc3-tr,External Workforce Management with SAP Fieldglass Track (2023 Edition),"Develop organisational policies or programs;;Conduct employee training programs;;Evaluate capabilities or training needs;;Train staff in organisational or compliance procedures;;Human resources software;;Direct organisational operations, projects or services;;Represent the organisation in external relations;;Develop plans for programs or services;;Train staff on proper operational procedures;;Develop educational or training programs;;Develop working relationships with others to facilitate program activities;;Enterprise resource planning ERP software;;Develop operating strategies, plans or procedures;;Evaluate training programs, instructors or materials",0.530;;0.520;;0.496;;0.483;;0.481;;0.475;;0.469;;0.463;;0.459;;0.455;;0.453;;0.453;;0.453;;0.451,,,,10,,https://open.sap.com/courses/fgc3-tr
sfh2rc2-tr,Intelligent Enterprise – Hire to Retire Track (2023 Edition),"Perform human resources activities;;Human resources software;;Advise others on human resources topics;;Manage human resources activities;;Evaluate capabilities or training needs;;Evaluate performance of applicants, trainees or employees;;Analyse data to inform staffing decisions;;Conduct employee training programs;;Evaluate characteristics of individuals to determine needs or eligibility;;Analyse jobs using observation, survey or interview techniques;;Maintain a working understanding of the cultural, diversity and accessibility needs of others, and how this applies to the role;;Enterprise resource planning ERP software;;Research human performance or health factors related to engineering or design activities;;Direct activities of staff;;Develop organisational policies or programs;;Train staff in organisational or compliance procedures;;Evaluate effectiveness of staff policies or practices;;Apply new technologies to improve work processes;;Evaluate staff practices to ensure adherence to regulations;;Train employees in proper work procedures;;Develop tools to diagnose or assess needs;;Conduct surveys in organisations;;Business intelligence and data analysis software;;Supervise information technology staff;;Investigate personal characteristics or activities of individuals",0.624;;0.603;;0.559;;0.558;;0.533;;0.503;;0.500;;0.499;;0.495;;0.494;;0.490;;0.489;;0.486;;0.477;;0.472;;0.468;;0.466;;0.462;;0.460;;0.460;;0.457;;0.457;;0.455;;0.451;;0.451,,,,10,,https://open.sap.com/courses/sfh2rc2-tr
frun1,SAP Focused Run – Operations of Hybrid Landscapes,"Enterprise system management software;;Monitor operational procedures in technical environments;;Direct organisational operations, projects or services;;Monitor facilities or operational systems;;Sales and marketing software;;Develop operating strategies, plans or procedures;;Business intelligence and data analysis software;;Direct technical activities or operations",0.494;;0.492;;0.482;;0.466;;0.459;;0.458;;0.457;;0.453,,,,15,,https://open.sap.com/courses/frun1
plm1-1,SAP PLM for Discrete Industries (Update Q2/2023),"Develop specifications for new products or processes;;Sales and marketing software;;Develop new or advanced products or production methods;;Materials requirements planning, logistics and supply chain software;;Study product information to acquire professional knowledge;;Direct quality control activities;;Perform marketing activities;;Design industrial processing systems;;Research industrial processes or operations;;Develop proposals for current or prospective customers;;Create marketing materials;;Direct design or development activities;;Confer with customers or designers to determine order specifications;;Customer relationship management CRM software",0.556;;0.549;;0.518;;0.495;;0.493;;0.479;;0.477;;0.475;;0.468;;0.460;;0.456;;0.451;;0.451;;0.450,,,,18,,https://open.sap.com/courses/plm1-1
plm2-1,SAP PLM for Process Industries (Update Q2/2023),"Develop new or advanced products or production methods;;Develop specifications for new products or processes;;Study product information to acquire professional knowledge;;Design industrial processing systems;;Materials requirements planning, logistics and supply chain software;;Develop equipment or component configurations;;Direct design or development activities;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Advise others on ways to improve processes or products;;Research industrial processes or operations;;Direct quality control activities;;Evaluate potential of products, technologies or resources;;Collaborate with others to determine production details;;Read work orders or other instructions to determine product specifications or materials requirements;;Collaborate with others to determine technical details of productions;;Develop technical methods or processes;;Conduct research to gain information about products or processes;;Recommend technical design or process changes to improve efficiency, quality or performance;;Collaborate with others to determine design specifications or details;;Program equipment to perform production tasks;;Implement design or process improvements;;Process library materials;;Determine technical requirements of productions or projects;;Make devices or components;;Develop technical specifications for systems or equipment;;Discuss design or technical features of goods or services with technical staff;;Create diagrams or blueprints for work pieces or products;;Apply new technologies to improve work processes;;Sales and marketing software",0.615;;0.614;;0.529;;0.522;;0.517;;0.513;;0.508;;0.506;;0.505;;0.492;;0.491;;0.483;;0.483;;0.471;;0.469;;0.469;;0.468;;0.465;;0.465;;0.460;;0.458;;0.456;;0.453;;0.453;;0.452;;0.452;;0.451;;0.450;;0.450,,,,30,,https://open.sap.com/courses/plm2-1
ce2,Design for a Circular Economy,"Develop operating strategies, plans or procedures for green or sustainable operations;;Research issues related to the environment or sustainable business practices;;Develop environmental sustainability plans or projects;;Develop sustainable industrial or development methods;;Evaluate logistics methods to reduce environmental impact;;Design energy efficient equipment or systems;;Research design or application of green technologies;;Identify opportunities for green initiatives;;Present sustainable goods or services information to the public;;Incorporate green features into the design of structures or facilities;;Evaluate environmental or sustainability projects;;Recommend technical design or process changes to improve efficiency, quality or performance;;Evaluate the characteristics of green technologies;;Develop sustainable organisational policies or practices;;Implement design or process improvements;;Develop new or advanced products or production methods;;Design structures or facilities;;Evaluate green operations or programs for compliance with standards or regulations;;Fabricate parts or components;;Evaluate plans or specifications to determine technological or environmental implications;;Develop artistic or design concepts for decoration, exhibition or commercial purposes;;Construct distinctive physical objects for artistic, functional or commercial purposes;;Manage environmental sustainability projects;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Develop marketing plans or strategies for environmental initiatives;;Direct environmental development activities",0.608;;0.542;;0.542;;0.513;;0.513;;0.510;;0.509;;0.503;;0.503;;0.497;;0.494;;0.489;;0.481;;0.481;;0.477;;0.472;;0.471;;0.470;;0.468;;0.468;;0.467;;0.466;;0.464;;0.460;;0.456;;0.452,,,,9,,https://open.sap.com/courses/ce2
dsp1,Introduction to SAP Datasphere,Business intelligence and data analysis software;;Enterprise application integration software;;Analyse data to inform operational decisions or activities;;Enterprise resource planning ERP software;;Sales and marketing software;;Analytical and scientific software;;Enterprise system management software,0.552;;0.469;;0.466;;0.463;;0.461;;0.459;;0.454,,,,12,,https://open.sap.com/courses/dsp1
mobile4,Understanding and Implementing the SAP Mobile Experience,Develop guidelines for system implementation,0.471,,,,9,,https://open.sap.com/courses/mobile4
signavio1,Drive SAP S/4HANA Transformations with SAP Signavio Solutions,"Research industrial processes or operations;;Oversee business processes;;Model operational processes;;Business intelligence and data analysis software;;Monitor organisational processes;;Direct organisational operations, projects or services;;Process library materials;;Enterprise system management software",0.531;;0.519;;0.468;;0.464;;0.463;;0.452;;0.452;;0.450,,,,24,,https://open.sap.com/courses/signavio1
